Google Flu Trends - Norway
Copyright 2015 Google Inc.

Exported data may be used for any purpose, subject to the Google Terms of Service (http://www.google.com/accounts/TOS?hl=en_US).
If you choose to use the data, please attribute it to Google as follows: "Data Source: Google Flu Trends (http://www.google.org/flutrends)".

Each week begins on the Sunday (Pacific Time) indicated for the row.
Data for the current week will be updated each day until Saturday (Pacific Time).
Note: To open these files in a spreadsheet application, we recommend you save each text file as a CSV spreadsheet.
For more information, please visit http://www.google.org/flutrends

Date,Norway
2004-11-14,12
2004-11-21,13
2004-11-28,13
2004-12-05,13
2004-12-12,12
2004-12-19,12
2004-12-26,14
2005-01-02,14
2005-01-09,13
2005-01-16,14
2005-01-23,15
2005-01-30,21
2005-02-06,29
2005-02-13,47
2005-02-20,56
2005-02-27,72
2005-03-06,81
2005-03-13,81
2005-03-20,77
2005-03-27,70
2005-04-03,61
2005-04-10,49
2005-04-17,41
2005-04-24,35
2005-05-01,31
2005-05-08,29
2005-05-15,27
2005-05-22,24
2005-05-29,23
2005-06-05,19
2005-06-12,18
2005-06-19,17
2005-06-26,15
2005-07-03,15
2005-07-10,16
2005-07-17,15
2005-07-24,15
2005-07-31,18
2005-08-07,19
2005-08-14,18
2005-08-21,20
2005-08-28,26
2005-09-04,29
2005-09-11,29
2005-09-18,35
2005-09-25,29
2005-10-02,27
2005-10-09,27
2005-10-16,27
2005-10-23,34
2005-10-30,40
2005-11-06,61
2005-11-13,61
2005-11-20,72
2005-11-27,69
2005-12-04,63
2005-12-11,58
2005-12-18,54
2005-12-25,48
2006-01-01,46
2006-01-08,37
2006-01-15,43
2006-01-22,40
2006-01-29,60
2006-02-05,91
2006-02-12,85
2006-02-19,75
2006-02-26,61
2006-03-05,43
2006-03-12,42
2006-03-19,42
2006-03-26,42
2006-04-02,33
2006-04-09,31
2006-04-16,29
2006-04-23,25
2006-04-30,22
2006-05-07,17
2006-05-14,16
2006-05-21,14
2006-05-28,14
2006-06-04,15
2006-06-11,15
2006-06-18,12
2006-06-25,11
2006-07-02,10
2006-07-09,10
2006-07-16,9
2006-07-23,8
2006-07-30,8
2006-08-06,8
2006-08-13,10
2006-08-20,11
2006-08-27,12
2006-09-03,19
2006-09-10,23
2006-09-17,28
2006-09-24,24
2006-10-01,26
2006-10-08,24
2006-10-15,25
2006-10-22,26
2006-10-29,25
2006-11-05,23
2006-11-12,23
2006-11-19,23
2006-11-26,24
2006-12-03,22
2006-12-10,25
2006-12-17,22
2006-12-24,21
2006-12-31,24
2007-01-07,39
2007-01-14,38
2007-01-21,73
2007-01-28,133
2007-02-04,199
2007-02-11,256
2007-02-18,295
2007-02-25,149
2007-03-04,85
2007-03-11,57
2007-03-18,38
2007-03-25,29
2007-04-01,25
