år;måned;antall
2015;Jan;1572228
2015;Feb;1426184
2015;Mar;1603735
2015;Apr;1417790
2015;Mai;1394289
2015;Jun;1381852
2015;Jul;895238
2015;Aug;1407594
2015;Sep;1712808
2015;Okt;1642499
2015;Nov;1634379
2015;Des;1372222
2016;Jan;1672432
2016;Feb;1537624
2016;Mar;1435002
2016;Apr;1586622
2016;Mai;1463891
2016;Jun;1398755
2016;Jul;900158
2016;Aug;1442876
2016;Sep;1686364
2016;Okt;1609436
2016;Nov;1706720
2016;Des;1384717
2017;Jan;1804157
2017;Feb;1587487
2017;Mar;1786241
2017;Apr;1443892
2017;Mai;1670943
2017;Jun;1445117
2017;Jul;998763
2017;Aug;1633687
2017;Sep;1807639
2017;Okt;1690222
2017;Nov;1762062
2017;Des;1338353
