Sensor_station_number;longitude;latitude
300029;59.905658;10.753238
303027;59.909563;10.736208
300108;59.906024;10.761345
300107;59.905984;10.761637
300170;59.906096;10.761823
300175;59.908727;10.753822
300140;59.908590;10.754419
300139;59.908746;10.754567
300177;59.908689;10.754814
300100;59.929334;10.802787
300109;59.929218;10.802829
200106;59.880272;10.511450
205227;59.888043;10.521161
200062;59.889278;10.519384
200027;59.891752;10.535057
300158;59.923659;10.837871
300157;59.923666;10.837398
300001;59.901248;10.818043
