"vegobjektid";"type_id";"versjonid";"startdato";"sistmodifisert";"Målestasjonsnummer";"Med-retning (fra)";"Mot-retning (fra)";"Kilde";"Registreringsnivå";"Trafikantgruppe";"Status";"Stedsnavn";"Antall kjørefelt";"Sist oppdatert fra NorTraf";"Prosjektreferanse";"Geometri, punkt";"kommune";"fylke";"region";"vegavdeling";"riksvegrute";"kontraktsområde";"vegreferanse";"fylkesnummer";"kommunenummer";"vegkategori";"vegstatus";"vegnummer";"fra hp";"til hp";"fra meter";"til meter";"stedfesting";"geometri";"srid"
"370075038";"482";"7";"2016-11-16";"2016-11-16T03:02:16";"1205015";"RÅDAL";" SANDSLI";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Sykkel";"Operativ";"HÅVARDSTUN SYKKEL";"1";"2016-11-16";;;"Bergen";"Hordaland";"VEST";"Hordaland";"";"1202 STOR-BERGEN 2010-2015,1202 Stor-Bergen 2015-2020,1211 Tunnel 2016-2021";"1200 Rg580 hp5 m1630";"12";"0";"R";"G";"580";"5";"5";"1630";;"804163 0.831746031746032 0.831746031746032 WITH N/A ";"POINT Z (-35154.25612 6723313.4096 19.87145)";"32633"
"370075041";"482";"5";"2017-09-14";"2017-09-14T04:01:09";"1200053";"SENTRUM";;"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"SENTRUM - VESTRE";"1";"2017-09-14";;;"Bergen";"Hordaland";"VEST";"Hordaland";"RUTE4A 2010-2019,RUTE4A 2014-2023";"1256 ELEKTRO,1211 TUNNEL,1202 STOR-BERGEN 2010-2015,1202 Stor-Bergen 2015-2020,E1260 Hordaland vest 2016-2022,1211 Tunnel 2016-2021";"1200 Ev39 hp80 m62260";"12";"0";"E";"V";"39";"80";"80";"62260";;"805625 0.882869655417876 0.882869655417876 WITH N/A ";"POINT Z (-31567.13052 6733246.98979 1.39887)";"32633"
"370075044";"482";"6";"2017-09-20";"2017-09-20T04:01:27";"1200066";"FRA GYLP/LØV-PFJBR";;"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"GYLDENPRIS-PFJBR.";"1";"2017-09-20";;;"Bergen";"Hordaland";"VEST";"Hordaland";"RUTE4A 2010-2019,RUTE4A 2014-2023";"1256 ELEKTRO,1211 TUNNEL,1202 STOR-BERGEN 2010-2015,1202 Stor-Bergen 2015-2020,E1260 Hordaland vest 2016-2022,T1260 Hordaland vest 2016-2022,1211 Tunnel 2016-2021";"1200 Rv555 hp72 m71135";"12";"0";"R";"V";"555";"72";"72";"71135";;"805016 1.0 1.0 WITH N/A ";"POINT Z (-32652.41 6733283.4 21.8)";"32633"
"370075159";"482";"4";"2016-11-11";"2016-12-15T07:10:34";"1200250";"LYNGBØ X582";;"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"RV555HP73RAMPE23000";"1";"2016-11-11";;;"Bergen";"Hordaland";"VEST";"Hordaland";"RUTE4A 2010-2019,RUTE4A 2014-2023";"1256 ELEKTRO,1211 TUNNEL,1202 STOR-BERGEN 2010-2015,1202 Stor-Bergen 2015-2020,E1260 Hordaland vest 2016-2022,T1260 Hordaland vest 2016-2022,1211 Tunnel 2016-2021,1201 Asola tillegg 2020-2023";"1200 Rv555 hp73 m23020";"12";"0";"R";"V";"555";"73";"73";"23020";;"805022 0.0446794893414578 0.0446794893414578 WITH N/A ";"POINT Z (-35092.17782 6733608.06381 17.64337)";"32633"
"370075160";"482";"3";"2014-06-25";"2016-11-07T18:16:07";"1203134";"DANMARKSPLASS";"SENTRUM";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"GAMLE NYGÅRDSBRO";"2";"2014-06-25";;;"Bergen";"Hordaland";"VEST";"Hordaland";"";"1202 STOR-BERGEN 2010-2015,1202 Stor-Bergen 2015-2020,E1260 Hordaland vest 2016-2022,1211 Tunnel 2016-2021";"1200 Fv256 hp1 m235";"12";"0";"F";"V";"256";"1";"1";"235";;"2353784 0.142581888246628 0.142581888246628 WITH N/A ";"POINT Z (-31670.42079 6733015.48192 4.25927)";"32633"
"370086790";"482";"6";"2017-06-14";"2017-06-14T04:01:16";"1203002";"NYBORG";"VÅGSBOTN";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"VÅGSBOTN FV 267";"2";"2017-06-14";;;"Bergen";"Hordaland";"VEST";"Hordaland";"";"1256 ELEKTRO,1211 TUNNEL,1202 STOR-BERGEN 2010-2015,1202 Stor-Bergen 2015-2020,E1260 Hordaland vest 2016-2022,1211 Tunnel 2016-2021";"1200 Fv267 hp3 m990";"12";"0";"F";"V";"267";"3";"3";"990";;"805421 0.739158273469682 0.739158273469682 WITH N/A ";"POINT Z (-29318.32969 6743428.77714 93.50702)";"32633"
"370086925";"482";"3";"2017-08-23";"2017-08-23T04:01:16";"1200128";"FRA HOP OG FJØSANGER";"TIL HOP OG FJØSANGER";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"TROLDHAUGTUNNEL";"6";"2017-08-23";;;"Bergen";"Hordaland";"VEST";"Hordaland";"RUTE4A 2010-2019,RUTE4A 2014-2023";"1202 STOR-BERGEN 2010-2015,1202 Stor-Bergen 2015-2020,E1260 Hordaland vest 2016-2022,T1260 Hordaland vest 2016-2022,1211 Tunneler i Bergen 2016 - 2021 (test),1211 Tunneler i Bergen 2016 - 2021 (test),1211 Tunnel 2016-2021";"1200 Rv580 hp4 m100";"12";"0";"R";"V";"580";"4";"4";"100";;"1696545 0.0634249471458774 0.0634249471458774 WITH N/A ";"POINT Z (-32535.28471 6726539.67843 11.47382)";"32633"
"370087073";"482";"4";"2016-08-04";"2017-07-20T14:48:22";"1201211";"NATLAND";"BERGEN SENTR";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"KALFARBAKKEN";"2";"2016-08-04";;;"Bergen";"Hordaland";"VEST";"Hordaland";"";"1256 ELEKTRO,1211 TUNNEL,1202 STOR-BERGEN 2010-2015,1202 Stor-Bergen 2015-2020,E1260 Hordaland vest 2016-2022,1211 Tunnel 2016-2021";"1200 Fv585 hp2 m5229";"12";"0";"F";"V";"585";"2";"2";"5229";;"805748 0.712582119016792 0.712582119016792 WITH N/A ";"POINT Z (-31014.4916 6733654.71731 26.72855)";"32633"
"370090691";"482";"4";"2017-07-18";"2017-07-18T04:01:09";"1204284";"BRÅTET XFV284";"BØNES XFV287";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"BØNESSKOGEN";"2";"2017-07-18";;;"Bergen";"Hordaland";"VEST";"Hordaland";"";"1256 ELEKTRO,1211 TUNNEL,1202 STOR-BERGEN 2010-2015,1202 Stor-Bergen 2015-2020,1201 Asola tillegg 2020-2023,E1260 Hordaland vest 2016-2022,1211 Tunnel 2016-2021";"1200 Fv285 hp2 m1450";"12";"0";"F";"V";"285";"2";"2";"1450";;"805815 0.748080428365766 0.748080428365766 WITH N/A ";"POINT Z (-34358.54252 6727728.13858 88.66929)";"32633"
"370090801";"482";"6";"2016-11-16";"2016-11-16T03:02:19";"1200703";"FESTPLASSEN";;"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"CHRISTIESGT";"2";"2016-11-16";;;"Bergen";"Hordaland";"VEST";"Hordaland";"RUTE5C 2010-2019,RUTE5C 2014-2023";"1256 ELEKTRO,1211 TUNNEL,1202 STOR-BERGEN 2010-2015,1202 Stor-Bergen 2015-2020,E1260 Hordaland vest 2016-2022,1211 Tunnel 2016-2021";"1200 Ev16 hp15 m1509";"12";"0";"E";"V";"16";"15";"15";"1509";;"804742 0.947665459938229 0.947665459938229 WITH N/A ";"POINT Z (-31937.42678 6734165.15243 1.49195)";"32633"
