"vegobjektid";"type_id";"versjonid";"startdato";"sistmodifisert";"Målestasjonsnummer";"Med-retning (fra)";"Mot-retning (fra)";"Kilde";"Registreringsnivå";"Trafikantgruppe";"Status";"Stedsnavn";"Antall kjørefelt";"Sist oppdatert fra NorTraf";"Prosjektreferanse";"Geometri, punkt";"kommune";"fylke";"region";"vegavdeling";"riksvegrute";"kontraktsområde";"vegreferanse";"fylkesnummer";"kommunenummer";"vegkategori";"vegstatus";"vegnummer";"fra hp";"til hp";"fra meter";"til meter";"stedfesting";"geometri";"srid"
"370075019";"482";"2";"2017-10-13";"2017-10-13T04:01:54";"400401";"NORDSTUMOEN";"KOPPANG SENTRUM";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"KOPPANG S";"2";"2017-10-13";;;"Stor-Elvdal";"Hedmark";"ØST";"Hedmark";"";"0403 RENENGTRY 2013-2018";"0400 Fv30 hp1 m3140";"4";"0";"F";"V";"30";"1";"1";"3140";;"705236 0.382382185686316 0.382382185686316 WITH N/A ";"POINT Z (290250.59114 6832451.39878 350.05453)";"32633"
"370075024";"482";"6";"2017-05-10";"2017-08-30T14:27:09";"800004";"BOSTRAK";"STEANE";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"Bostrak";"2";"2017-05-10";;;"Drangedal";"Telemark";"SØR";"Telemark";"";"0801 Vest-Telemark 2013-2018,0810 Telemark elektro 2014-2019,0811 Telemark veglys 2016-2019,0801 Telemark vest 2018-2026";"0800 Fv38 hp8 m1149";"8";"0";"F";"V";"38";"8";"8";"1149";;"521422 0.392853548757094 0.392853548757094 WITH N/A ";"POINT Z (149559.35096 6568880.78335 92.83568)";"32633"
"370075025";"482";"9";"2016-09-01";"2017-09-25T09:58:30";"1000016";"AUKLAND";"NODELAND";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"AUKLAND VEGSTASJON";"2";"2016-09-01";;;"Kristiansand";"Vest-Agder";"SØR";"Vest-Agder";"";"1003 Kristiansand 2014-2019,1008 Vest-Agder veglys 2016-2021,1005 Vest-Agder elektro 2016-2021,1005 Vest-Agder elektro 2016-2021";"1000 Fv303 hp1 m1263";"10";"0";"F";"V";"303";"1";"1";"1263";;"121819 0.132779367301325 0.132779367301325 WITH N/A ";"POINT Z (83446.6371 6473495.53575 64.63033)";"32633"
"370075026";"482";"10";"2016-01-30";"2018-02-08T08:19:30";"800010";"LARVIK";"SKIEN";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"Lannerheia";"2";"2016-01-30";;;"Porsgrunn";"Telemark";"SØR";"Telemark";"RUTE3 2010-2019,RUTE3 2014-2023";"0804 Nedre Telemark sør 2014-2019,0810 Telemark elektro 2014-2019,0811 Telemark veglys 2016-2019";"0800 Ev18 hp1 m5294";"8";"0";"E";"V";"18";"1";"1";"5294";;"521064 0.552654417763456 0.552654417763456 WITH N/A ";"POINT Z (200719.75178 6562874.54991 124.68632)";"32633"
"370075027";"482";"3";"2015-07-07";"2015-07-07T04:02:44";"600061";"BRAKERØYA";"HAMBORGSTRØM";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"BRAGERNESTUNNELEN";"2";"2015-07-07";;;"Drammen";"Buskerud";"SØR";"Buskerud";"";"0605 Drammen 2015-2020,0614 Buskerud elektro 2014-2019,0615 Buskerud veglys 2014-2019";"0600 Fv283 hp1 m1640";"6";"0";"F";"V";"283";"1";"1";"1640";;"180989 0.601720566301983 0.601720566301983 WITH N/A ";"POINT Z (230762.06888 6633405.632 25.50253)";"32633"
"370075028";"482";"7";"2017-12-01";"2017-12-01T03:02:09";"800202";"HAUKELIGREND";"HORDALAND.GR";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"VÅGSLI TUNNEL";"2";"2017-12-01";;;"Vinje";"Telemark";"SØR";"Telemark";"RUTE5A 2010-2019,RUTE5A 2014-2023";"0806 Vinje 2011-2018,0810 Telemark elektro 2014-2019,0811 Telemark veglys 2016-2019,0801 Telemark vest 2018-2026";"0800 Ev134 hp20 m8337";"8";"0";"E";"V";"134";"20";"20";"8337";;"521100 0.533651556768999 0.533651556768999 WITH N/A ";"POINT Z (65798.95732 6654441.89951 1010.38553)";"32633"
"370075037";"482";"6";"2016-09-06";"2016-09-06T04:02:05";"400620";"FRA BERGSHØGDA";"FRA BRUMUNDDAL";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"BUTTEKVERN S";"2";"2016-09-06";;;"Ringsaker";"Hedmark";"ØST";"Hedmark";"";"0401 Nordre Hedmarken 2012-2017,0401 Nordre Hedmarken 2017-2022";"0400 Fv84 hp2 m4070";"4";"0";"F";"V";"84";"2";"2";"4070";;"705294 0.0825511837236365 0.0825511837236365 WITH N/A ";"POINT Z (280298.43188 6756277.66197 147.40755)";"32633"
"370075038";"482";"7";"2016-11-16";"2016-11-16T03:02:16";"1205015";"RÅDAL";" SANDSLI";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Sykkel";"Operativ";"HÅVARDSTUN SYKKEL";"1";"2016-11-16";;;"Bergen";"Hordaland";"VEST";"Hordaland";"";"1202 STOR-BERGEN 2010-2015,1202 Stor-Bergen 2015-2020,1211 Tunnel 2016-2021";"1200 Rg580 hp5 m1630";"12";"0";"R";"G";"580";"5";"5";"1630";;"804163 0.831746031746032 0.831746031746032 WITH N/A ";"POINT Z (-35154.25612 6723313.4096 19.87145)";"32633"
"370075039";"482";"3";"2015-11-28";"2017-11-02T09:49";"1100003";"EGERSUND";"SANDNES";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"KVASSHEIM";"2";"2015-11-28";;;"Hå";"Rogaland";"VEST";"Rogaland";"";"1153 ELEKTRO,1101 DALANE 2012-2017,1153 Sør Rogaland 2018-2023,1101 Dalane 2017-2023";"1100 Fv44 hp5 m7850";"11";"0";"F";"V";"44";"5";"5";"7850";;"320610 0.905320197132257 0.905320197132257 WITH N/A ";"POINT Z (-41233.9014 6527702.61818 8.15468)";"32633"
"370075040";"482";"4";"2017-09-13";"2018-01-30T12:49:01";"1100006";"HAUGESUND SENTRUM";"SVEIO";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"HAUGESUND NORD";"2";"2017-09-13";;;"Haugesund";"Rogaland";"VEST";"Rogaland";"";"1104 HAUGASTORD 2008-2013,1258 ELEKTRO,1104 HAUGASTORD 2013-2018,1106 Haugesund 2013-2018,1190 Skiltfornying,1154 Nord Rogaland 2017-2022,1258 Sunnhordland og Nord-Rogaland 2011-2016,1106 Haugesund 2019-2024";"1100 Fv47 hp5 m6994";"11";"0";"F";"V";"47";"5";"5";"6994";;"319821 0.444154905272706 0.444154905272706 WITH N/A ";"POINT Z (-50591.96019 6631055.84372 35.91201)";"32633"
