"vegobjektid";"type_id";"versjonid";"startdato";"sistmodifisert";"Målestasjonsnummer";"Med-retning (fra)";"Mot-retning (fra)";"Kilde";"Registreringsnivå";"Trafikantgruppe";"Status";"Stedsnavn";"Antall kjørefelt";"Sist oppdatert fra NorTraf";"Prosjektreferanse";"Geometri, punkt";"kommune";"fylke";"region";"vegavdeling";"riksvegrute";"kontraktsområde";"vegreferanse";"fylkesnummer";"kommunenummer";"vegkategori";"vegstatus";"vegnummer";"fra hp";"til hp";"fra meter";"til meter";"stedfesting";"geometri";"srid"
"370075066";"482";"4";"2015-10-27";"2017-08-21T16:01:21";"300032";"Fra og mot Oslo";;"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Sykkel";"Midlertidig ute av drift";"BEKKELAGET SYKKEL PK";"1";"2015-10-27";;;"Oslo";"Oslo";"ØST";"Oslo";"RUTE2A 2010-2019,RUTE2A 2014-2023";"0303 RIKSVEGER OSLO 2016-2021,0210 Drift Elektro veglyskontrakt Oslo og Akershus";"0300 Ev18 hp1 m6650";"3";"0";"E";"V";"18";"1";"1";"6650";;"625292 0.674338240631049 0.674338240631049 WITH N/A ";"POINT Z (263421.2225 6645848.57292 5.95283)";"32633"
"370075067";"482";"6";"2015-08-21";"2017-07-05T11:30:24";"300039";"MORTENSRUD";"ABILDSØ";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"SKULLERUD";"6";"2015-08-21";;;"Oslo";"Oslo";"ØST";"Oslo";"RUTE1 2014-2023";"0303 RIKSVEGER OSLO 2016-2021,0210 Drift Elektro veglyskontrakt Oslo og Akershus";"0300 Ev6 hp1 m5272";"3";"0";"E";"V";"6";"1";"1";"5272";;"625212 0.546884893779266 0.546884893779266 WITH N/A ";"POINT Z (266588.33818 6643481.57217 96.5)";"32633"
"370075068";"482";"4";"2015-08-21";"2017-08-21T16:01:21";"300096";"Fra Bygrense";"Mot Bygrense";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"EV 18 V/ MASTEMYR";"4";"2015-08-21";;;"Oslo";"Oslo";"ØST";"Oslo";"RUTE2A 2010-2019,RUTE2A 2014-2023";"0303 RIKSVEGER OSLO 2016-2021,0210 Drift Elektro veglyskontrakt Oslo og Akershus";"0300 Ev18 hp1 m200";"3";"0";"E";"V";"18";"1";"1";"200";;"625292 0.0208696069211704 0.0208696069211704 WITH N/A ";"POINT Z (263369.03668 6639802.96846 51.69042)";"32633"
"370075070";"482";"4";"2015-11-25";"2017-08-30T08:49:49";"300307";"RYEN";"SINSEN";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Nedlagt, ikke lov å bruke";"MANGLERUD E6";"4";"2015-11-25";;;"Oslo";"Oslo";"ØST";"Oslo";"RUTE1 2014-2023";"0303 RIKSVEGER OSLO 2016-2021,0210 Drift Elektro veglyskontrakt Oslo og Akershus";"0300 Ev6 hp1 m10214";"3";"0";"E";"V";"6";"1";"1";"10214";;"625213 0.116936995768086 0.116936995768086 WITH N/A ";"POINT Z (266097.95606 6647725.71865 122.35854)";"32633"
"370075137";"482";"9";"2016-08-23";"2016-08-23T04:02:06";"300349";"Karihaugen";"Akershus grense";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"E6 V/KARIHAUGEN";"6";"2016-08-23";;;"Oslo";"Oslo";"ØST";"Oslo";"RUTE6A 2010-2019,RUTE6A 2014-2023";"0303 RIKSVEGER OSLO 2016-2021,0210 Drift Elektro veglyskontrakt Oslo og Akershus";"0300 Ev6 hp2 m6010";"3";"0";"E";"V";"6";"2";"2";"6010";;"625215 0.798539250366457 0.798539250366457 WITH N/A ";"POINT Z (272890.5442 6651710.77449 176.92498)";"32633"
"370086631";"482";"3";"2016-10-14";"2016-10-14T04:02:29";"300058";"Jerikoveien";;"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Nedlagt";"PÅKJ FRA JERIKOVEIEN";"1";"2016-10-14";;;"Oslo";"Oslo";"ØST";"Oslo";"RUTE6A 2010-2019,RUTE6A 2014-2023";"0303 RIKSVEGER OSLO 2016-2021,0210 Drift Elektro veglyskontrakt Oslo og Akershus";"0300 Ev6 hp90 m21270";"3";"0";"E";"V";"6";"90";"90";"21270";;"625280 0.394859372309539 0.394859372309539 WITH N/A ";"POINT Z (270193.14228 6651481.65469 152.34052)";"32633"
"370086797";"482";"4";"2015-02-18";"2017-03-20T12:44:24";"300318";"Klemetsrud";"Mortenssrud";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Midlertidig ute av drift";"MORTENSRUD";"4";"2015-02-18";;;"Oslo";"Oslo";"ØST";"Oslo";"RUTE1 2014-2023";"0303 RIKSVEGER OSLO 2016-2021,0210 Drift Elektro veglyskontrakt Oslo og Akershus";"0300 Ev6 hp1 m3525";"3";"0";"E";"V";"6";"1";"1";"3525";;"625212 0.36561094496087 0.36561094496087 WITH N/A ";"POINT Z (266811.88336 6641759.88514 144.9)";"32633"
"370087011";"482";"2";"2013-03-15";"2013-03-15T03:10:38";"300027";;;"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"Avkj Granfoss nord";"1";"2013-03-15";;;"Oslo";"Oslo";"ØST";"Oslo";"RUTE6A 2010-2019,RUTE6A 2014-2023";"0303 RIKSVEGER OSLO 2016-2021,0210 Drift Elektro veglyskontrakt Oslo og Akershus";"0300 Rv150 hp92 m12020";"3";"0";"R";"V";"150";"92";"92";"12020";;"625458 0.0917236913544737 0.0917236913544737 WITH N/A ";"POINT Z (257070.91627 6651241.68865 64.48362)";"32633"
"370089931";"482";"4";"2015-08-14";"2015-08-14T04:01:49";"300018";"Bekkelaget";"Bjørvika";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Nedlagt";"Mosseveien v/Karlsbørgveien";"3";"2015-08-14";;;"Oslo";"Oslo";"ØST";"Oslo";"RUTE2A 2010-2019,RUTE2A 2014-2023";"0303 RIKSVEGER OSLO 2016-2021,0210 Drift Elektro veglyskontrakt Oslo og Akershus";"0300 Ev18 hp1 m8250";"3";"0";"E";"V";"18";"1";"1";"8250";;"2545188 0.558709194922527 0.558709194922527 WITH N/A ";"POINT Z (262748.51625 6647297.24823 8.70589)";"32633"
"370090442";"482";"4";"2015-05-21";"2018-02-01T14:35:58";"300016";"Sinsen";"Storo";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"Rv 150 Grefsen";"6";"2015-05-21";;;"Oslo";"Oslo";"ØST";"Oslo";"RUTE6A 2010-2019,RUTE6A 2014-2023";"0303 RIKSVEGER OSLO 2016-2021,0210 Drift Elektro veglyskontrakt Oslo og Akershus";"0300 Rv150 hp1 m3097";"3";"0";"R";"V";"150";"1";"1";"3097";;"625405 0.312904044893022 0.312904044893022 WITH N/A ";"POINT Z (264383.8042 6652391.84661 113)";"32633"
