"vegobjektid";"type_id";"versjonid";"startdato";"sistmodifisert";"Målestasjonsnummer";"Med-retning (fra)";"Mot-retning (fra)";"Kilde";"Registreringsnivå";"Trafikantgruppe";"Status";"Stedsnavn";"Antall kjørefelt";"Sist oppdatert fra NorTraf";"Prosjektreferanse";"Geometri, punkt";"kommune";"fylke";"region";"vegavdeling";"riksvegrute";"kontraktsområde";"vegreferanse";"fylkesnummer";"kommunenummer";"vegkategori";"vegstatus";"vegnummer";"fra hp";"til hp";"fra meter";"til meter";"stedfesting";"geometri";"srid"
"370086999";"482";"10";"2017-08-22";"2017-09-15T11:03:17";"1100023";"Sandnes";"Stavanger";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"E39 / Oscar Wistingsgt.";"4";"2017-08-22";;;"Stavanger";"Rogaland";"VEST";"Rogaland";"RUTE3 2010-2019,RUTE3 2014-2023";"1153 ELEKTRO,1103 Stavanger 2017-2022,1103 STAVANGER 2011-2016,1153 Sør Rogaland 2018-2023";"1100 Ev39 hp8 m2871";"11";"0";"E";"V";"39";"8";"8";"2871";;"320582 0.931889072305091 0.931889072305091 WITH N/A ";"POINT Z (-32721.06494 6571349.11302 35.41371)";"32633"
"370087074";"482";"6";"2016-03-18";"2017-11-17T15:07:27";"1100013";"St.Olavsgt X Fv44";"Stangeland S X Fv510";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"OALSGATA";"2";"2016-03-18";;;"Sandnes";"Rogaland";"VEST";"Rogaland";"";"1153 ELEKTRO,1103 Stavanger 2017-2022,1103 STAVANGER 2011-2016,1153 Sør Rogaland 2018-2023";"1100 Fv509 hp1 m850";"11";"0";"F";"V";"509";"1";"1";"850";;"319868 0.160744164298916 0.160744164298916 WITH N/A ";"POINT Z (-34322.21309 6560889.37203 34.35685)";"32633"
"370087100";"482";"5";"2017-08-22";"2017-08-22T04:01:53";"1100210";"Kiellandsmyr X E39";"Fiskepiren fk";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"BERGJELANDSTUNNELEN";"2";"2017-08-22";;;"Stavanger";"Rogaland";"VEST";"Rogaland";"";"1153 ELEKTRO,1103 Stavanger 2017-2022,1103 STAVANGER 2011-2016,1153 Sør Rogaland 2018-2023";"1100 Fv509 hp5 m1480";"11";"0";"F";"V";"509";"5";"5";"1480";;"319885 0.921018790154698 0.921018790154698 WITH N/A ";"POINT Z (-31198.71804 6573650.98523 1.53419)";"32633"
"370090310";"482";"6";"2015-07-02";"2016-09-19T14:34:16";"1100218";"Sandesletta rkj.";"Sømmevågen X Rv509";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"SOLA N. ved Arabergv.";"2";"2015-07-02";;;"Sola";"Rogaland";"VEST";"Rogaland";"";"1153 ELEKTRO,1103 Stavanger 2017-2022,1103 STAVANGER 2011-2016,1153 Sør Rogaland 2018-2023,Bussveien";"1100 Fv510 hp1 m15837";"11";"0";"F";"V";"510";"1";"1";"15837";;"319869 0.634322636049284 0.634322636049284 WITH N/A ";"POINT Z (-38013.6737 6565639.27404 5.84936)";"32633"
"370090312";"482";"6";"2016-12-06";"2016-12-06T03:02:34";"1100332";"Stavanger";"Hundvåg";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"Bybrua sør";"2";"2016-12-06";;;"Stavanger";"Rogaland";"VEST";"Rogaland";"";"1103 Stavanger 2017-2022,1103 STAVANGER 2011-2016,1153 Sør Rogaland 2018-2023";"1100 Fv435 hp1 m260";"11";"0";"F";"V";"435";"1";"1";"260";;"320695 0.179487283772509 0.179487283772509 WITH N/A ";"POINT Z (-30940.17082 6573474.98226 23.43299)";"32633"
"370090313";"482";"6";"2017-05-13";"2018-01-16T15:43:25";"1100335";"Forus øst";"Sola";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"FORUSBEEN/BRANSTASJ";"3";"2017-05-13";;"POINT (-34533.45 6565546.16 10.89)";"Stavanger";"Rogaland";"VEST";"Rogaland";"";"1103 Stavanger 2017-2022,1103 STAVANGER 2011-2016,1153 Sør Rogaland 2018-2023";"1100 Fv443 hp1 m2067";"11";"0";"F";"V";"443";"1";"1";"2067";;"2520554 0.631578947368421 0.631578947368421 WITH N/A LEFT";"POINT Z (-34532.20729 6565554.0239 10.85488)";"32633"
"370090833";"482";"6";"2016-05-27";"2017-09-06T10:26";"1100012";"Hove X E39";"Vatnekrossen";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"AUSTRÅTTUNNELEN";"2";"2016-05-27";;;"Sandnes";"Rogaland";"VEST";"Rogaland";"RUTE5A 2010-2019,RUTE5A 2014-2023";"1153 ELEKTRO,1103 Stavanger 2017-2022,1103 STAVANGER 2011-2016,1153 Sør Rogaland 2018-2023";"1100 Rv13 hp1 m2289";"11";"0";"R";"V";"13";"1";"1";"2289";;"319671 0.733550626317162 0.733550626317162 WITH N/A ";"POINT Z (-31906.37664 6559848.90265 42.84627)";"32633"
"370091811";"482";"3";"2016-12-06";"2016-12-06T03:02:24";"1100024";"Strømsbrua";"Banavigå øst";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"Storhaugtunnelen";"2";"2016-12-06";;;"Stavanger";"Rogaland";"VEST";"Rogaland";"";"1103 Stavanger 2017-2022,1103 STAVANGER 2011-2016,1153 Sør Rogaland 2018-2023";"1100 Fv427 hp1 m1085";"11";"0";"F";"V";"427";"1";"1";"1085";;"320244 0.572788026715883 0.572788026715883 WITH N/A ";"POINT Z (-30811.37441 6572631.14728 -6.4)";"32633"
"370092078";"482";"7";"2017-05-24";"2017-05-24T04:01:32";"1100104";"Sømmevågen rkj.";"Hinna X E39";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"JOABAKKEN";"2";"2017-05-24";;;"Sola";"Rogaland";"VEST";"Rogaland";"";"1153 ELEKTRO,1103 Stavanger 2017-2022,1103 STAVANGER 2011-2016,1153 Sør Rogaland 2018-2023";"1100 Fv510 hp2 m969";"11";"0";"F";"V";"510";"2";"2";"969";;"319919 0.215559272666554 0.215559272666554 WITH N/A ";"POINT Z (-37228.97605 6566336.71627 11.26178)";"32633"
"370092081";"482";"3";"2015-06-06";"2017-04-05T08:21:43";"1100128";"SANDNES SENTR.";"Forussletta sør rkj.";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"Strandgata nord";"2";"2015-06-06";;;"Sandnes";"Rogaland";"VEST";"Rogaland";"";"1153 ELEKTRO,1103 Stavanger 2017-2022,1103 STAVANGER 2011-2016,1153 Sør Rogaland 2018-2023,Bussveien";"1100 Fv44 hp51 m2500";"11";"0";"F";"V";"44";"51";"51";"2500";;"319725 0.836519640462127 0.836519640462127 WITH N/A ";"POINT Z (-32696.13635 6562337.04597 2.63347)";"32633"
"370092120";"482";"4";"2015-03-25";"2017-10-03T14:39:40";"1100338";"Kannik X Fv509";"Nedre Tasta X E39";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"RANDABERGVEIEN";"2";"2015-03-25";;;"Stavanger";"Rogaland";"VEST";"Rogaland";"";"1103 Stavanger 2017-2022,1103 STAVANGER 2011-2016,1153 Sør Rogaland 2018-2023";"1100 Fv446 hp1 m1797";"11";"0";"F";"V";"446";"1";"1";"1797";;"320297 0.107951942145433 0.107951942145433 WITH N/A ";"POINT Z (-32988.86258 6574486.90673 53.47894)";"32633"
"370092350";"482";"6";"2016-10-07";"2016-10-07T04:02:26";"1100220";"Skankeholen";"Harestad";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"Lassa";"2";"2016-10-07";;;"Stavanger";"Rogaland";"VEST";"Rogaland";"RUTE3 2010-2019,RUTE3 2014-2023";"1153 ELEKTRO,1103 Stavanger 2017-2022,1103 STAVANGER 2011-2016,1153 Sør Rogaland 2018-2023";"1100 Ev39 hp9 m1683";"11";"0";"E";"V";"39";"9";"9";"1683";;"319524 0.715351624598903 0.715351624598903 WITH N/A ";"POINT Z (-33842.78818 6572815.93817 42.59276)";"32633"
